ell,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10
339,4.233865299212E-10,4.501693064753E-10,3.723941579772E-10,3.386981018186E-10,3.784628186546E-10,3.796404584552E-10,4.982029975364E-10,3.848382886479E-10,2.768259876664E-10,4.090714267916E-10
340,4.193880074457E-10,4.453339808135E-10,3.687028399236E-10,3.353007100426E-10,3.743212274079E-10,3.757330862266E-10,4.92951495945E-10,3.805722282217E-10,2.739186534187E-10,4.048862605957E-10
341,4.154294736395E-10,4.405392824778E-10,3.650538283705E-10,3.319434320565E-10,3.70227619113E-10,3.718657416818E-10,4.877249751061E-10,3.763397759301E-10,2.71053171015E-10,4.007391116622E-10
342,4.115117602204E-10,4.3578656758E-10,3.614478466191E-10,3.286269336426E-10,3.661831469062E-10,3.680395636943E-10,4.825244801796E-10,3.721417679206E-10,2.682303637796E-10,3.966311961515E-10
343,4.076356925569E-10,4.310771956872E-10,3.578856095686E-10,3.253518725252E-10,3.621889626804E-10,3.642556925723E-10,4.773510559002E-10,3.679790357614E-10,2.654510518668E-10,3.92563733152E-10
344,4.038020895404E-10,4.264125297557E-10,3.543678235766E-10,3.221188982387E-10,3.58246216988E-10,3.605152699903E-10,4.722057464899E-10,3.638524063295E-10,2.627160521693E-10,3.8853794462E-10
345,4.000117634567E-10,4.217939360661E-10,3.508951863187E-10,3.189286519954E-10,3.543560589454E-10,3.568194389197E-10,4.670895955703E-10,3.597627017001E-10,2.600261782275E-10,3.845550553199E-10
346,3.962655198584E-10,4.172227841574E-10,3.474683866485E-10,3.157817665537E-10,3.505196361358E-10,3.531693435603E-10,4.620036460751E-10,3.557107390348E-10,2.573822401384E-10,3.806162927639E-10
347,3.925641574364E-10,4.127004467617E-10,3.440881044575E-10,3.126788660861E-10,3.467380945132E-10,3.495661292715E-10,4.569489401623E-10,3.516973304709E-10,2.547850444649E-10,3.767228871518E-10
348,3.889084678921E-10,4.082282997384E-10,3.407550105351E-10,3.096205660468E-10,3.430125783062E-10,3.46010942503E-10,4.519265191268E-10,3.477232830096E-10,2.522353941447E-10,3.728760713115E-10
349,3.852992358091E-10,4.038076101951E-10,3.374697664284E-10,3.066074730404E-10,3.393441274224E-10,3.425048316848E-10,4.469374233124E-10,3.437893984052E-10,2.497340098532E-10,3.690769775173E-10
350,3.817372385253E-10,3.994391958552E-10,3.342330243024E-10,3.03640184689E-10,3.357333651566E-10,3.39048445492E-10,4.419826920248E-10,3.398964730535E-10,2.472812906741E-10,3.653263233402E-10
351,3.782232460049E-10,3.951237514127E-10,3.310454267994E-10,3.00719289501E-10,3.321807973221E-10,3.356423219116E-10,4.370633634433E-10,3.360452978809E-10,2.448775433095E-10,3.616247126314E-10
352,3.7475802071E-10,3.908619588949E-10,3.279076068996E-10,2.978453667385E-10,3.286869133827E-10,3.322869859878E-10,4.321804745336E-10,3.322366582328E-10,2.425230595616E-10,3.579727373049E-10
353,3.713423174727E-10,3.866544874868E-10,3.248201877806E-10,2.950189862856E-10,3.252521862563E-10,3.289829496556E-10,4.273350609603E-10,3.284713337625E-10,2.402181161647E-10,3.54370977176E-10
354,3.679768833673E-10,3.825019933561E-10,3.217837826772E-10,2.922407085164E-10,3.21877072117E-10,3.257307115751E-10,4.225281569988E-10,3.247500983202E-10,2.379629746167E-10,3.508199998001E-10
355,3.646624575817E-10,3.784051194773E-10,3.187989947417E-10,2.895110841628E-10,3.185620101985E-10,3.22530756965E-10,4.17760795448E-10,3.210737198413E-10,2.357578810114E-10,3.473203603116E-10
356,3.613997712896E-10,3.743644954568E-10,3.158664169038E-10,2.868306541824E-10,3.15307422597E-10,3.193835574363E-10,4.130340075427E-10,3.174429602354E-10,2.3360306587E-10,3.438726012617E-10
357,3.581895475225E-10,3.703807373571E-10,3.129866317301E-10,2.84199949627E-10,3.12113714074E-10,3.162895708268E-10,4.083488228657E-10,3.13858575275E-10,2.314987439732E-10,3.404772524578E-10
358,3.550325010415E-10,3.664544475221E-10,3.101602112844E-10,2.816194915099E-10,3.089812718594E-10,3.132492410341E-10,4.037062692608E-10,3.103213144845E-10,2.294451141933E-10,3.37134830802E-10
359,3.519293382093E-10,3.625862144008E-10,3.073877169878E-10,2.790897906745E-10,3.059104654544E-10,3.1026299785E-10,3.991073727443E-10,3.068319210283E-10,2.274423593255E-10,3.338458401294E-10
360,3.48880756862E-10,3.587766123727E-10,3.04669699478E-10,2.766113476618E-10,3.029016464342E-10,3.073312567944E-10,3.945531574182E-10,3.033911316004E-10,2.254906459202E-10,3.30610771047E-10
361,3.458874461811E-10,3.550262015721E-10,3.020066984698E-10,2.741846525788E-10,2.999551482513E-10,3.044544189486E-10,3.900446453821E-10,2.999996763124E-10,2.235901241149E-10,3.274301007721E-10
362,3.429500865655E-10,3.513355277128E-10,2.993992426147E-10,2.71810184966E-10,2.970712860382E-10,3.016328707896E-10,3.855828566455E-10,2.966582785828E-10,2.217409274659E-10,3.243042929713E-10
363,3.400693495032E-10,3.477051219127E-10,2.968478493611E-10,2.694884136661E-10,2.942503564104E-10,2.98866984024E-10,3.811688090409E-10,2.933676550254E-10,2.199431727802E-10,3.212337975988E-10
364,3.372458974435E-10,3.441355005184E-10,2.94353024814E-10,2.67219796691E-10,2.914926372693E-10,2.961571154215E-10,3.768035181351E-10,2.901285153382E-10,2.181969599475E-10,3.18219050735E-10
365,3.344803836688E-10,3.406271649298E-10,2.919152635948E-10,2.650047810909E-10,2.887983876053E-10,2.935036066489E-10,3.724879971426E-10,2.869415621921E-10,2.165023717719E-10,3.152604744255E-10
366,3.317734521664E-10,3.371806014251E-10,2.895350487017E-10,2.628438028213E-10,2.861678473004E-10,2.90906784104E-10,3.682232568373E-10,2.838074911198E-10,2.148594738042E-10,3.123584765192E-10
367,3.291257375006E-10,3.337962809849E-10,2.872128513693E-10,2.607372866115E-10,2.836012369315E-10,2.883669587494E-10,3.640103054651E-10,2.807269904043E-10,2.13268314173E-10,3.095134505075E-10
368,3.265378646845E-10,3.304746591169E-10,2.849491309284E-10,2.586856458327E-10,2.810987575732E-10,2.858844259463E-10,3.598501486565E-10,2.777007409677E-10,2.117289234175E-10,3.067257753624E-10
369,3.240104490522E-10,3.272161756811E-10,2.827443346662E-10,2.566892823656E-10,2.786605906006E-10,2.834594652885E-10,3.557437893387E-10,2.747294162603E-10,2.102413143187E-10,3.039958153755E-10
370,3.215440961302E-10,3.240212547137E-10,2.805988976862E-10,2.547485864686E-10,2.762868974925E-10,2.810923404359E-10,3.516922276478E-10,2.718136821489E-10,2.088054817316E-10,3.013239199964E-10
371,3.191393354641E-10,3.208903042521E-10,2.78513191339E-10,2.528638880878E-10,2.73977819634E-10,2.787832989489E-10,3.476963761343E-10,2.689541316051E-10,2.07421402417E-10,2.987104236713E-10
372,3.167964195044E-10,3.178237161597E-10,2.764873665773E-10,2.510353089566E-10,2.717334781199E-10,2.765325721216E-10,3.437568018991E-10,2.661510861808E-10,2.060890348732E-10,2.961556456821E-10
373,3.145155166055E-10,3.1482186595E-10,2.745215042015E-10,2.492629044545E-10,2.69553973557E-10,2.743403748161E-10,3.398739742026E-10,2.634047865519E-10,2.048083191684E-10,2.936598899843E-10
374,3.122967761768E-10,3.118851126116E-10,2.726156655513E-10,2.475467114688E-10,2.674393858677E-10,2.722069052962E-10,3.360483481015E-10,2.607154568509E-10,2.03579176772E-10,2.912234450462E-10
375,3.101403284974E-10,3.09013798433E-10,2.707698923211E-10,2.458867482206E-10,2.653897740925E-10,2.701323450611E-10,3.32280364287E-10,2.580833044994E-10,2.024015103867E-10,2.888465836872E-10
376,3.080462845302E-10,3.062082488268E-10,2.689842063752E-10,2.442830140908E-10,2.634051761931E-10,2.681168586797E-10,3.285704489242E-10,2.555085200393E-10,2.012752037806E-10,2.865295629166E-10
377,3.060147357364E-10,3.034687721545E-10,2.672586095629E-10,2.427354894456E-10,2.614856088554E-10,2.661605936237E-10,3.249190134903E-10,2.529912769656E-10,2.002001216186E-10,2.842726237722E-10
378,3.040457538907E-10,3.007956595512E-10,2.655930835337E-10,2.412441354621E-10,2.596310672922E-10,2.642636801023E-10,3.213264546134E-10,2.505317315583E-10,1.99176109295E-10,2.820759911588E-10
379,3.021393908947E-10,2.981891847503E-10,2.639875895527E-10,2.398088939545E-10,2.578415250463E-10,2.624262308953E-10,3.177931539117E-10,2.481300227141E-10,1.982029927645E-10,2.799398736871E-10
380,3.002956785924E-10,2.956496039078E-10,2.624420683157E-10,2.384296871995E-10,2.561169337935E-10,2.606483411874E-10,3.143194778316E-10,2.45786271779E-10,1.972805783748E-10,2.778644635119E-10
381,2.985146285841E-10,2.931771554274E-10,2.609564397644E-10,2.371064177625E-10,2.544572231453E-10,2.589300884019E-10,3.109057774868E-10,2.435005823798E-10,1.96408652698E-10,2.758499361711E-10
382,2.967962320411E-10,2.907720597845E-10,2.595306029015E-10,2.358389683228E-10,2.528623004523E-10,2.572715320344E-10,3.075523884968E-10,2.412730402566E-10,1.95586982363E-10,2.738964504244E-10
383,2.951404595201E-10,2.884345193516E-10,2.581644356061E-10,2.346272014997E-10,2.513320506065E-10,2.556727134869E-10,3.042596308261E-10,2.391037130949E-10,1.948153138867E-10,2.720041480913E-10
384,2.935472607778E-10,2.861647182224E-10,2.568577944489E-10,2.334709596782E-10,2.498663358447E-10,2.541336559016E-10,3.010278086222E-10,2.36992650357E-10,1.940933735067E-10,2.701731538906E-10
385,2.920165645856E-10,2.839628220364E-10,2.556105145072E-10,2.323700648349E-10,2.484649955513E-10,2.526543639946E-10,2.97857210055E-10,2.349398831149E-10,1.934208670122E-10,2.684035752783E-10
386,2.905482785434E-10,2.818289778039E-10,2.544224091802E-10,2.313243183634E-10,2.471278460612E-10,2.512348238897E-10,2.947481071551E-10,2.329454238818E-10,1.927974795768E-10,2.666955022866E-10
387,2.891422888949E-10,2.797633137303E-10,2.532932700046E-10,2.303335009006E-10,2.458546804628E-10,2.498750029525E-10,2.917007556528E-10,2.310092664444E-10,1.922228755899E-10,2.650490073625E-10
388,2.877984603416E-10,2.777659140679E-10,2.52222866469E-10,2.293973721519E-10,2.446452700158E-10,2.485748364197E-10,2.887153948165E-10,2.29131385695E-10,1.916967130246E-10,2.634641243075E-10
389,2.865166358576E-10,2.758367429924E-10,2.5121094583E-10,2.285156707173E-10,2.434993688648E-10,2.473341870759E-10,2.857922472918E-10,2.273117374633E-10,1.91218687477E-10,2.619407845585E-10
390,2.852966365038E-10,2.739757175345E-10,2.502572329265E-10,2.276881139173E-10,2.424167091155E-10,2.46152883742E-10,2.829315189401E-10,2.255502583487E-10,1.907884894443E-10,2.604788782072E-10
391,2.841382612426E-10,2.721827321015E-10,2.493614299959E-10,2.269143976181E-10,2.413969990401E-10,2.450307341681E-10,2.801333986773E-10,2.238468655521E-10,1.904057897813E-10,2.590782745055E-10
392,2.830412867523E-10,2.70457658282E-10,2.485232164885E-10,2.261941960581E-10,2.404399228821E-10,2.439675248563E-10,2.773980583122E-10,2.222014567086E-10,1.900702395446E-10,2.57738821688E-10
393,2.820054672418E-10,2.688003446507E-10,2.47742248883E-10,2.25527161673E-10,2.395451406599E-10,2.429630208842E-10,2.74725652386E-10,2.206139097185E-10,1.897814698351E-10,2.564603467939E-10
394,2.810305342646E-10,2.67210616573E-10,2.470181605019E-10,2.24912924922E-10,2.387122879717E-10,2.420169657283E-10,2.721163180102E-10,2.190840825805E-10,1.89539091642E-10,2.552426554892E-10
395,2.801161965339E-10,2.656882760101E-10,2.463505613263E-10,2.243510941133E-10,2.37940975799E-10,2.411290810872E-10,2.695701747061E-10,2.176118132228E-10,1.893426956862E-10,2.540855318882E-10
396,2.792621397368E-10,2.642331013235E-10,2.457390378115E-10,2.238412552301E-10,2.372307903115E-10,2.402990667051E-10,2.670873242428E-10,2.161969193359E-10,1.891918522637E-10,2.529887383759E-10
397,2.784680263489E-10,2.628448470798E-10,2.45183152702E-10,2.233829717563E-10,2.365812926707E-10,2.395266001951E-10,2.646678504764E-10,2.148391982042E-10,1.890861110888E-10,2.519520154302E-10
398,2.777334954484E-10,2.615232438556E-10,2.446824448467E-10,2.22975784502E-10,2.359920188348E-10,2.388113368625E-10,2.623118191885E-10,2.13538426538E-10,1.890250011378E-10,2.509750814434E-10
399,2.770581625313E-10,2.602679980422E-10,2.442364290142E-10,2.226192114296E-10,2.354624793621E-10,2.38152909528E-10,2.600192779252E-10,2.122943603062E-10,1.890080304925E-10,2.500576325445E-10
400,2.764416193252E-10,2.590787916503E-10,2.43844595708E-10,2.223127474795E-10,2.349921592162E-10,2.375509283516E-10,2.577902558355E-10,2.111067345676E-10,1.890346861834E-10,2.491993424212E-10
401,2.758834336045E-10,2.579552821151E-10,2.435064109817E-10,2.220558643958E-10,2.345805175691E-10,2.370049806551E-10,2.556247635102E-10,2.099752633032E-10,1.891044340331E-10,2.483998621418E-10
402,2.75383149004E-10,2.568971021005E-10,2.43221316254E-10,2.218480105518E-10,2.342269876065E-10,2.365146307462E-10,2.535227928208E-10,2.088996392487E-10,1.892167185001E-10,2.476588199775E-10
403,2.749402848343E-10,2.559038593045E-10,2.429887281244E-10,2.216886107765E-10,2.339309763312E-10,2.360794197415E-10,2.514843167576E-10,2.078795337258E-10,1.893709625219E-10,2.46975821224E-10
404,2.745543358959E-10,2.549751362635E-10,2.428080381878E-10,2.215770661795E-10,2.336918643678E-10,2.356988653899E-10,2.495092892694E-10,2.06914596475E-10,1.895665673588E-10,2.463504480237E-10
405,2.742247722934E-10,2.541104901573E-10,2.426786128502E-10,2.215127539774E-10,2.335090057668E-10,2.353724618957E-10,2.475976451013E-10,2.060044554871E-10,1.898029124366E-10,2.45782259188E-10
406,2.739510392506E-10,2.533094526138E-10,2.425997931437E-10,2.214950273192E-10,2.333817278087E-10,2.350996797426E-10,2.45749299634E-10,2.051487168356E-10,1.90079355191E-10,2.452707900188E-10
407,2.737325569245E-10,2.525715295139E-10,2.425708945417E-10,2.215232151122E-10,2.333093308082E-10,2.348799655163E-10,2.439641487223E-10,2.043469645084E-10,1.903952309104E-10,2.448155521307E-10
408,2.735687202202E-10,2.518962007962E-10,2.425912067741E-10,2.215966218478E-10,2.332910879189E-10,2.347127417283E-10,2.422420685338E-10,2.035987602404E-10,1.907498525795E-10,2.444160332732E-10
409,2.734588986049E-10,2.512829202615E-10,2.426599936426E-10,2.217145274273E-10,2.333262449367E-10,2.34597406639E-10,2.405829153879E-10,2.02903643345E-10,1.911425107227E-10,2.440716971525E-10
410,2.734024741145E-10,2.507311153782E-10,2.42776544269E-10,2.218762380033E-10,2.334140201048E-10,2.345333340813E-10,2.389865263979E-10,2.022611305467E-10,1.915724732477E-10,2.437819832537E-10
411,2.73398957232E-10,2.502401870864E-10,2.429403292172E-10,2.220812408442E-10,2.335536039175E-10,2.345198732838E-10,2.374527217524E-10,2.016707461941E-10,1.920389852887E-10,2.435463066625E-10
412,2.73447874749E-10,2.498095096031E-10,2.431508495376E-10,2.223290546128E-10,2.337441589243E-10,2.34556348694E-10,2.359813021979E-10,2.011321144193E-10,1.925412690501E-10,2.433640578875E-10
413,2.735487317864E-10,2.494384302268E-10,2.434075856859E-10,2.226191787079E-10,2.339848195346E-10,2.34642059802E-10,2.345720480823E-10,2.006448699049E-10,1.930785236497E-10,2.432346026822E-10
414,2.737010116367E-10,2.491262691425E-10,2.43709997375E-10,2.229510931269E-10,2.342746918216E-10,2.347762809634E-10,2.332247191944E-10,2.002086276512E-10,1.936499249622E-10,2.431572818667E-10
415,2.739041756052E-10,2.488723192261E-10,2.440575234268E-10,2.233242583277E-10,2.346128533265E-10,2.349582612231E-10,2.319390546028E-10,1.998229828293E-10,1.942546254628E-10,2.431314111501E-10
416,2.741576628521E-10,2.486758458494E-10,2.44449581624E-10,2.237381150909E-10,2.349983528627E-10,2.351872241383E-10,2.307147724956E-10,1.994875106349E-10,1.948917540705E-10,2.431562809524E-10
417,2.74460890234E-10,2.48536086685E-10,2.448855685619E-10,2.241920843817E-10,2.354302103204E-10,2.354623676021E-10,2.295515700193E-10,1.992017661417E-10,1.955604159913E-10,2.432311562263E-10
418,2.748132521455E-10,2.484522515107E-10,2.453648595004E-10,2.246855672122E-10,2.359074164702E-10,2.357828636665E-10,2.284491231186E-10,1.989652841555E-10,1.962596925623E-10,2.433552762794E-10
419,2.752141203612E-10,2.484235220147E-10,2.458868082156E-10,2.252179445033E-10,2.364289327678E-10,2.361478583662E-10,2.274070863752E-10,1.987775790672E-10,1.969886410945E-10,2.435278545962E-10
420,2.75662843877E-10,2.484490516002E-10,2.464507468517E-10,2.257885769469E-10,2.369936911582E-10,2.365564715416E-10,2.264250928475E-10,1.986381447067E-10,1.977462947163E-10,2.437480786601E-10
421,2.761587487521E-10,2.485279651898E-10,2.470559857732E-10,2.26396804868E-10,2.376005938796E-10,2.370077966621E-10,2.255027539095E-10,1.985464541963E-10,1.985316622175E-10,2.440151097755E-10
422,2.767011379507E-10,2.486593590311E-10,2.47701813416E-10,2.270419480869E-10,2.382485132678E-10,2.375009006499E-10,2.246396590906E-10,1.985019598047E-10,1.99343727892E-10,2.443280828895E-10
423,2.772892911834E-10,2.488423005007E-10,2.4838749614E-10,2.277233057811E-10,2.389362915605E-10,2.380348237029E-10,2.238353759143E-10,1.985040928E-10,2.001814513817E-10,2.446861064142E-10
424,2.779224647492E-10,2.490758279093E-10,2.491122780804E-10,2.284401563474E-10,2.396627407016E-10,2.386085791181E-10,2.230894497381E-10,1.985522633037E-10,2.010437675199E-10,2.450882620487E-10
425,2.785998913769E-10,2.493589503065E-10,2.498753809999E-10,2.29191757264E-10,2.40426642145E-10,2.392211531152E-10,2.224014035924E-10,1.986458601444E-10,2.019295861745E-10,2.45533604601E-10
426,2.793207800673E-10,2.496906472856E-10,2.506760041402E-10,2.29977344953E-10,2.412267466592E-10,2.398715046596E-10,2.217707380201E-10,1.987842507109E-10,2.028377920918E-10,2.460211618101E-10
427,2.800843159343E-10,2.500699486155E-10,2.51513324074E-10,2.307961346418E-10,2.420618838242E-10,2.405586501386E-10,2.211969309154E-10,1.98966780806E-10,2.037673474592E-10,2.465500102106E-10
428,2.808896600468E-10,2.504961765192E-10,2.523864945571E-10,2.316473202256E-10,2.42931295024E-10,2.412819209219E-10,2.206794373637E-10,1.991927745006E-10,2.047176037582E-10,2.47119505933E-10
429,2.817359492708E-10,2.509687112544E-10,2.532946463798E-10,2.325300741297E-10,2.43834311398E-10,2.420407142165E-10,2.202176894806E-10,1.994615339863E-10,2.056880002132E-10,2.477290614058E-10
430,2.826222961104E-10,2.514869118885E-10,2.542368872187E-10,2.334435471711E-10,2.447702450487E-10,2.42834408885E-10,2.198110962511E-10,1.997723394299E-10,2.066779619422E-10,2.483780698945E-10
431,2.835477885499E-10,2.520501161557E-10,2.552123014891E-10,2.343868684208E-10,2.457383889179E-10,2.436623653248E-10,2.194590433692E-10,2.001244488264E-10,2.076868998673E-10,2.490659053736E-10
432,2.845114898956E-10,2.526576403143E-10,2.562199501964E-10,2.353591450661E-10,2.467380166627E-10,2.445239253471E-10,2.191608930769E-10,2.005170978531E-10,2.087142106258E-10,2.497919223986E-10
433,2.855124386173E-10,2.533087790038E-10,2.572588707878E-10,2.363594622724E-10,2.477683825323E-10,2.454184120561E-10,2.189159840038E-10,2.009494997226E-10,2.097592764811E-10,2.505554559777E-10
434,2.865496481897E-10,2.540028051022E-10,2.583280770046E-10,2.373868830454E-10,2.488287212434E-10,2.463451297278E-10,2.18723631006E-10,2.01420845037E-10,2.108214652331E-10,2.51355821444E-10
435,2.876221069349E-10,2.54738969583E-10,2.594265587337E-10,2.384404480932E-10,2.499182478573E-10,2.473033636895E-10,2.185831250058E-10,2.019303016407E-10,2.119001301299E-10,2.521923143274E-10
436,2.887287778633E-10,2.555165013728E-10,2.605532818596E-10,2.395191756886E-10,2.510361576558E-10,2.482923801984E-10,2.184937328308E-10,2.024770144751E-10,2.129946097779E-10,2.530642102265E-10
437,2.898685985156E-10,2.563346072077E-10,2.617071881159E-10,2.406220615308E-10,2.521816260171E-10,2.493114263207E-10,2.184546970534E-10,2.030601054311E-10,2.141042280533E-10,2.539707646803E-10
438,2.910404808046E-10,2.571924714916E-10,2.628871949378E-10,2.417480786077E-10,2.533538082926E-10,2.50359729811E-10,2.184652358296E-10,2.036786732033E-10,2.152282940124E-10,2.549112130406E-10
439,2.922433108569E-10,2.580892561524E-10,2.640921953131E-10,2.42896177058E-10,2.545518396831E-10,2.514364989913E-10,2.185245427388E-10,2.043317931435E-10,2.163661018032E-10,2.558847703437E-10
440,2.934759488542E-10,2.590241004996E-10,2.653210576349E-10,2.440652840334E-10,2.557748351144E-10,2.525409226295E-10,2.186317866232E-10,2.050185171142E-10,2.175169305755E-10,2.568906311822E-10
441,2.947372288754E-10,2.599961210816E-10,2.665726255527E-10,2.452543035603E-10,2.570218891144E-10,2.536721698192E-10,2.187861114264E-10,2.057378733422E-10,2.186800443925E-10,2.579279695773E-10
442,2.960259587384E-10,2.610044115427E-10,2.678457178246E-10,2.464621164025E-10,2.582920756888E-10,2.548293898585E-10,2.189866360335E-10,2.064888662722E-10,2.198546921411E-10,2.589959388504E-10
443,2.973409198412E-10,2.620480424804E-10,2.691391281691E-10,2.476875799227E-10,2.595844481975E-10,2.560117121287E-10,2.192324541098E-10,2.072704764204E-10,2.210401074432E-10,2.600936714952E-10
444,2.986808670043E-10,2.631260613024E-10,2.704516251169E-10,2.48929527945E-10,2.608980392309E-10,2.572182459739E-10,2.195226339406E-10,2.080816602282E-10,2.222355085663E-10,2.612202790496E-10
445,3.000445283117E-10,2.64237492084E-10,2.717819518629E-10,2.501867706168E-10,2.62231860486E-10,2.584480805797E-10,2.198562182699E-10,2.089213499156E-10,2.234400983347E-10,2.623748519678E-10
446,3.014306049533E-10,2.653813354254E-10,2.731288261176E-10,2.514580942709E-10,2.635849026429E-10,2.597002848525E-10,2.202322241405E-10,2.097884533349E-10,2.2465306404E-10,2.635564594919E-10
447,3.02837771066E-10,2.665565683083E-10,2.744909399595E-10,2.527422612877E-10,2.649561352407E-10,2.609739072984E-10,2.206496427324E-10,2.106818538243E-10,2.258735773523E-10,2.647641495242E-10
448,3.042646735757E-10,2.67762143954E-10,2.758669596864E-10,2.540380099573E-10,2.66344506554E-10,2.622679759022E-10,2.211074392028E-10,2.116004100613E-10,2.271007942309E-10,2.659969484989E-10
449,3.05710055491E-10,2.689969916796E-10,2.772556535415E-10,2.553441776445E-10,2.677489434691E-10,2.635814980067E-10,2.216046376205E-10,2.125429559166E-10,2.283338548354E-10,2.672538612543E-10
450,3.07173130499E-10,2.702600167561E-10,2.786562797432E-10,2.566600749544E-10,2.691683513602E-10,2.649134601915E-10,2.221405791234E-10,2.135083003075E-10,2.295718834362E-10,2.685338709042E-10
451,3.086532201839E-10,2.715501002648E-10,2.800682107243E-10,2.579851234071E-10,2.706016139658E-10,2.662628281523E-10,2.227146718013E-10,2.144953393138E-10,2.308139883259E-10,2.698359387106E-10
452,3.101496315854E-10,2.728660989552E-10,2.814908063207E-10,2.593187331651E-10,2.720475932646E-10,2.676285465798E-10,2.233263062461E-10,2.155033968008E-10,2.320592617296E-10,2.71159003955E-10
453,3.116616571143E-10,2.742068451017E-10,2.829234137E-10,2.606603029682E-10,2.73505129352E-10,2.690095390388E-10,2.239748554413E-10,2.165318944855E-10,2.333067797164E-10,2.725019838108E-10
454,3.131885744672E-10,2.755711463609E-10,2.843653672885E-10,2.62009220069E-10,2.749730403165E-10,2.704047078472E-10,2.246596746522E-10,2.175802405868E-10,2.345556021098E-10,2.738637732149E-10
455,3.147296465418E-10,2.769577856288E-10,2.858159886994E-10,2.633648601684E-10,2.764501221155E-10,2.718129339552E-10,2.253801013155E-10,2.186478297446E-10,2.358047723987E-10,2.752432447397E-10
456,3.162841213516E-10,2.783655208982E-10,2.872745866606E-10,2.647265873506E-10,2.77935148452E-10,2.732330768244E-10,2.261354549293E-10,2.197340429398E-10,2.370533176486E-10,2.766392484653E-10
457,3.178512319411E-10,2.797930851156E-10,2.887404569422E-10,2.660937540186E-10,2.794268706504E-10,2.746639743064E-10,2.269250369427E-10,2.208382474141E-10,2.38300248412E-10,2.780506118512E-10
458,3.194301963007E-10,2.812391860384E-10,2.902128822847E-10,2.674657008297E-10,2.809240175334E-10,2.761044425225E-10,2.277481306459E-10,2.219597965893E-10,2.395445586396E-10,2.794761396083E-10
459,3.21020217282E-10,2.827025060925E-10,2.916911323263E-10,2.688417566303E-10,2.824252952973E-10,2.775532757425E-10,2.286040010601E-10,2.230980299872E-10,2.407852255912E-10,2.809146135708E-10
460,3.226204825122E-10,2.841817022288E-10,2.931744635311E-10,2.702212383919E-10,2.839293873892E-10,2.790092462634E-10,2.294918948269E-10,2.242522731494E-10,2.420212097463E-10,2.823647925682E-10
461,3.2423016431E-10,2.85675405781E-10,2.946621191167E-10,2.716034511459E-10,2.854349543827E-10,2.804711042891E-10,2.304110400986E-10,2.254218375566E-10,2.432514547154E-10,2.838254122972E-10
462,3.258484195998E-10,2.871822223226E-10,2.961533289819E-10,2.729876879192E-10,2.869406338542E-10,2.81937577809E-10,2.313606464278E-10,2.266060205488E-10,2.444748871504E-10,2.852951851938E-10
463,3.27474389827E-10,2.887007315239E-10,2.976473096347E-10,2.743732296693E-10,2.884450402593E-10,2.834073724772E-10,2.323399046573E-10,2.278041052444E-10,2.456904166561E-10,2.86772800305E-10
464,3.291072008734E-10,2.902294870094E-10,2.991432641197E-10,2.757593452199E-10,2.89946764809E-10,2.848791714917E-10,2.3334798681E-10,2.290153604603E-10,2.468969357003E-10,2.882569231609E-10
465,3.307459629714E-10,2.917670162151E-10,3.006403819465E-10,2.771452911961E-10,2.914443753458E-10,2.863516354731E-10,2.343840459786E-10,2.302390406313E-10,2.480933195254E-10,2.897461956464E-10
466,3.323897706199E-10,2.933119684606E-10,3.021378390167E-10,2.785303119596E-10,2.929365770227E-10,2.878235436676E-10,2.354472162155E-10,2.3147438573E-10,2.49278561051E-10,2.912393739242E-10
467,3.340377024985E-10,2.948635645413E-10,3.036347975526E-10,2.799136395443E-10,2.944227001082E-10,2.892942226484E-10,2.365366124229E-10,2.327206211865E-10,2.504521803952E-10,2.927357471971E-10
468,3.356888213834E-10,2.964211608823E-10,3.051304060239E-10,2.812944935913E-10,2.959022271569E-10,2.907631307512E-10,2.376513302421E-10,2.339769578076E-10,2.516138279545E-10,2.942347317586E-10
469,3.373421740614E-10,2.979841025299E-10,3.066237990766E-10,2.826720812845E-10,2.973746335474E-10,2.922297179168E-10,2.387904459438E-10,2.352425916971E-10,2.527631505525E-10,2.957357340711E-10
470,3.389967912458E-10,2.995517230907E-10,3.081140974599E-10,2.840455972858E-10,2.988393874471E-10,2.93693425648E-10,2.399530163178E-10,2.365167041751E-10,2.538997914247E-10,2.972381507144E-10
471,3.406516874909E-10,3.011233446705E-10,3.096004079545E-10,2.854142236704E-10,3.002959497776E-10,2.951536869667E-10,2.411380785627E-10,2.377984616978E-10,2.550233902042E-10,2.987413683332E-10
472,3.423058611071E-10,3.02698277813E-10,3.110818233E-10,2.867771298622E-10,3.017437741793E-10,2.966099263709E-10,2.42344650176E-10,2.390870157771E-10,2.561335829066E-10,3.002447635859E-10
473,3.439582940761E-10,3.042758214391E-10,3.12557422123E-10,2.881334725692E-10,3.031823069761E-10,2.980615597916E-10,2.435717288437E-10,2.403815029005E-10,2.57230001916E-10,3.01747703092E-10
474,3.456079519657E-10,3.058552627856E-10,3.14026268865E-10,2.894823957185E-10,3.046109871408E-10,2.995079945497E-10,2.448182923304E-10,2.416810444503E-10,2.583122759697E-10,3.032495433806E-10
