ell,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10
32,1.515958901689E-10,1.646338468058E-10,1.48493192185E-10,1.374764145752E-10,1.689708699538E-10,1.488909429084E-10,1.562629183658E-10,1.391235227487E-10,1.235665234821E-10,1.540509886895E-10
33,1.54021566775E-10,1.673391320998E-10,1.507572693555E-10,1.395444103453E-10,1.713803405694E-10,1.511723390404E-10,1.589084478392E-10,1.414084445668E-10,1.25465017507E-10,1.564444404811E-10
34,1.564797805213E-10,1.700792523096E-10,1.530517153042E-10,1.416423153425E-10,1.738162354087E-10,1.534757765808E-10,1.615932916054E-10,1.437307333514E-10,1.273766510637E-10,1.588695610306E-10
35,1.589662229325E-10,1.728577315358E-10,1.553708796189E-10,1.437672530159E-10,1.762823746951E-10,1.55805924306E-10,1.643095716633E-10,1.460879397268E-10,1.293046767384E-10,1.613264065172E-10
36,1.614838960775E-10,1.756754117805E-10,1.577203811299E-10,1.459208146303E-10,1.787796815554E-10,1.581652225595E-10,1.67063091187E-10,1.484815234876E-10,1.312523787876E-10,1.638105152644E-10
37,1.640328016091E-10,1.785283007482E-10,1.601045644934E-10,1.481007505605E-10,1.813034383511E-10,1.605514079286E-10,1.698592031252E-10,1.509089815522E-10,1.332189894227E-10,1.663134018851E-10
38,1.666053710991E-10,1.81420777246E-10,1.625210825283E-10,1.502972036647E-10,1.838562996241E-10,1.629675569226E-10,1.726967711433E-10,1.533602591511E-10,1.352060237353E-10,1.688411543733E-10
39,1.691911724746E-10,1.843554673609E-10,1.649636527555E-10,1.524979309199E-10,1.864381538184E-10,1.654141625182E-10,1.755707513526E-10,1.558228823162E-10,1.372120442943E-10,1.714007908604E-10
40,1.717949263175E-10,1.873288896603E-10,1.674332861331E-10,1.547080310425E-10,1.89041710008E-10,1.678856537511E-10,1.784827993228E-10,1.583013608367E-10,1.392302869393E-10,1.739945890006E-10
41,1.744232793834E-10,1.90334471635E-10,1.699296286669E-10,1.569356216222E-10,1.91657190578E-10,1.703740084938E-10,1.814330390219E-10,1.608030935719E-10,1.412523931715E-10,1.766211546552E-10
42,1.770794366044E-10,1.933743206133E-10,1.724473052207E-10,1.5918608096E-10,1.942899923911E-10,1.728824935639E-10,1.844165700877E-10,1.633326994107E-10,1.432823423288E-10,1.79280348519E-10
43,1.797641047542E-10,1.964502059961E-10,1.749795063367E-10,1.614622570794E-10,1.969475525256E-10,1.754153561158E-10,1.874264667105E-10,1.658924329404E-10,1.453261629901E-10,1.819690515393E-10
44,1.824796019661E-10,1.995598503269E-10,1.775312412181E-10,1.637659644556E-10,1.99634078284E-10,1.779736563866E-10,1.904650567E-10,1.684843755409E-10,1.47387829672E-10,1.846792698457E-10
45,1.852263700518E-10,2.026990875767E-10,1.801093945078E-10,1.660963905679E-10,2.023513025848E-10,1.805565465179E-10,1.935353303227E-10,1.711083659312E-10,1.494696414646E-10,1.874021020539E-10
46,1.880014534867E-10,2.058700262004E-10,1.827187878042E-10,1.684493023981E-10,2.051018545199E-10,1.83166336474E-10,1.966374928897E-10,1.737610336306E-10,1.515740520028E-10,1.901420714403E-10
47,1.907981930996E-10,2.090746633084E-10,1.853619499853E-10,1.70816747012E-10,2.07886293658E-10,1.858043842508E-10,1.997686943689E-10,1.764355136344E-10,1.537019830167E-10,1.929063452007E-10
48,1.936091709279E-10,2.123123115478E-10,1.880393363708E-10,1.731904968807E-10,2.107018048394E-10,1.884693906901E-10,2.02925316153E-10,1.791244997077E-10,1.558520594023E-10,1.957005348486E-10
49,1.964367411228E-10,2.155793559721E-10,1.907505951739E-10,1.755742329244E-10,2.135419077145E-10,1.911571637733E-10,2.061112245309E-10,1.818310877885E-10,1.58020407443E-10,1.98528518422E-10
50,1.992849413026E-10,2.188715283213E-10,1.934932634373E-10,1.779742812852E-10,2.163993903747E-10,1.938628401779E-10,2.093313792108E-10,1.845604989872E-10,1.602025281056E-10,2.01392350215E-10
51,2.0215636359E-10,2.221920216923E-10,1.962621476762E-10,1.803960627372E-10,2.192767228722E-10,1.965888076836E-10,2.125893428141E-10,1.873168956825E-10,1.623999845077E-10,2.042923735702E-10
52,2.050520141789E-10,2.255451582383E-10,1.990491171024E-10,1.828439843263E-10,2.221779682528E-10,1.993385257813E-10,2.158871409539E-10,1.901032665344E-10,1.646151809012E-10,2.072268313752E-10
53,2.07972142259E-10,2.289339425652E-10,2.018462267433E-10,1.853212172571E-10,2.251056700678E-10,2.021141391401E-10,2.192254984298E-10,1.92921545364E-10,1.668493445944E-10,2.101916116585E-10
54,2.109193002981E-10,2.323599370675E-10,2.046565056032E-10,1.878292129347E-10,2.280607136348E-10,2.049163575363E-10,2.226049411989E-10,1.957732683682E-10,1.691024218238E-10,2.131800739145E-10
55,2.138958259331E-10,2.358237153697E-10,2.07485582219E-10,1.9036787362E-10,2.31043222081E-10,2.077451614482E-10,2.260247339055E-10,1.986588854972E-10,1.713738830953E-10,2.161855683979E-10
56,2.169028439472E-10,2.393266401547E-10,2.103385319387E-10,1.929355447072E-10,2.340558229796E-10,2.106023991708E-10,2.294824072112E-10,2.015774385659E-10,1.736656120361E-10,2.192101247671E-10
57,2.199401664799E-10,2.428693086276E-10,2.132198097632E-10,1.955289015939E-10,2.37100950204E-10,2.134896245678E-10,2.329736336436E-10,2.045264560737E-10,1.759795518077E-10,2.222576176812E-10
58,2.23006193237E-10,2.464509131887E-10,2.161331831881E-10,1.981428365512E-10,2.401797839639E-10,2.164072419456E-10,2.364921034445E-10,2.07501848022E-10,1.783167913146E-10,2.253311956829E-10
59,2.260989138486E-10,2.500691392925E-10,2.190814471623E-10,2.007723908855E-10,2.432921523829E-10,2.193544181522E-10,2.400318037407E-10,2.104995104306E-10,1.806774965101E-10,2.284332124453E-10
60,2.29219413412E-10,2.537200633083E-10,2.220656441906E-10,2.034193323351E-10,2.464364330753E-10,2.223289946754E-10,2.435947561062E-10,2.135208128927E-10,1.83060841703E-10,2.315651580168E-10
61,2.323690061225E-10,2.573997226147E-10,2.250855441014E-10,2.060869079149E-10,2.49610672385E-10,2.25328621216E-10,2.471848596658E-10,2.165682017655E-10,1.854657609459E-10,2.347279801077E-10
62,2.355481435495E-10,2.611094687849E-10,2.28139772984E-10,2.087778900254E-10,2.528164593326E-10,2.283546525953E-10,2.508056039537E-10,2.19643556261E-10,1.878935546935E-10,2.379232877581E-10
63,2.387563522072E-10,2.648516402001E-10,2.312257386447E-10,2.114945326548E-10,2.560557505216E-10,2.314089745484E-10,2.544600262309E-10,2.227481412215E-10,1.903457490015E-10,2.411522970706E-10
64,2.419921711257E-10,2.68627947735E-10,2.343395560625E-10,2.142385275818E-10,2.593296706049E-10,2.344928112635E-10,2.581506688021E-10,2.258825598936E-10,1.928232852446E-10,2.444154097501E-10
65,2.452540145526E-10,2.724394256758E-10,2.374774266631E-10,2.170110968658E-10,2.62638452498E-10,2.376066762376E-10,2.618795024013E-10,2.290470879976E-10,1.953264774437E-10,2.477121567253E-10
66,2.485431126394E-10,2.762863826395E-10,2.406402830901E-10,2.198133914622E-10,2.659813775912E-10,2.407503231309E-10,2.656477733621E-10,2.32242864244E-10,1.978549695925E-10,2.510411417709E-10
67,2.518610837839E-10,2.801683524917E-10,2.43829997768E-10,2.226460989847E-10,2.693567159631E-10,2.43922696622E-10,2.694560476856E-10,2.354708682733E-10,2.00407692984E-10,2.543999851288E-10
68,2.552090285854E-10,2.840846901892E-10,2.470479826394E-10,2.255092756269E-10,2.727626762583E-10,2.47122667787E-10,2.733041992991E-10,2.387315257316E-10,2.029835453482E-10,2.577863457776E-10
69,2.585874932932E-10,2.880366092153E-10,2.502951552874E-10,2.284023061779E-10,2.762006124652E-10,2.503515231196E-10,2.771913664241E-10,2.420246717114E-10,2.055836834487E-10,2.612013547952E-10
70,2.619964332552E-10,2.920254707074E-10,2.535719050576E-10,2.313238640361E-10,2.796723624977E-10,2.536108938829E-10,2.811159079444E-10,2.453495141913E-10,2.082096205006E-10,2.646467796016E-10
71,2.654351763668E-10,2.960521430579E-10,2.568780591804E-10,2.342718712243E-10,2.831792626651E-10,2.569019876505E-10,2.85075359774E-10,2.487045974764E-10,2.108625216833E-10,2.681239785912E-10
72,2.68902977948E-10,3.001169693273E-10,2.602133173559E-10,2.37244346799E-10,2.867221137082E-10,2.602255592261E-10,2.890673284399E-10,2.520884879785E-10,2.135431799286E-10,2.716338723408E-10
73,2.724008899083E-10,3.042197346569E-10,2.635787273658E-10,2.402422294709E-10,2.903011468348E-10,2.635818815628E-10,2.93092467364E-10,2.555020651982E-10,2.162519917069E-10,2.751769148188E-10
74,2.759301859844E-10,3.083596336818E-10,2.669754328014E-10,2.432670270491E-10,2.939159897544E-10,2.669707166833E-10,2.971519956884E-10,2.589466064746E-10,2.189889328156E-10,2.787530645932E-10
75,2.79491779445E-10,3.12535237943E-10,2.704042069098E-10,2.463199566845E-10,2.975656327146E-10,2.703912865988E-10,3.012467898238E-10,2.624230838828E-10,2.217535341655E-10,2.82361756041E-10
76,2.830862000421E-10,3.167451340139E-10,2.738654294117E-10,2.494019251681E-10,3.012490339222E-10,2.738427495531E-10,3.053773612149E-10,2.659321441652E-10,2.245452488364E-10,2.86002328878E-10
77,2.867135709628E-10,3.209900442533E-10,2.773590633191E-10,2.52513509228E-10,3.049671383457E-10,2.773257932994E-10,3.095438341064E-10,2.694740886639E-10,2.273646840379E-10,2.896754708221E-10
78,2.90373585781E-10,3.252710353742E-10,2.808846317532E-10,2.55654935827E-10,3.087211670548E-10,2.808412808815E-10,3.137459233078E-10,2.730488532524E-10,2.302125508566E-10,2.933819869213E-10
79,2.940654854085E-10,3.295888635099E-10,2.844411947618E-10,2.588260624606E-10,3.125119899774E-10,2.843897526697E-10,3.179829119599E-10,2.766559882677E-10,2.330892769912E-10,2.971223454903E-10
80,2.977884931362E-10,3.339439553806E-10,2.880278095737E-10,2.620266611658E-10,3.163401050456E-10,2.879714076417E-10,3.222540525087E-10,2.802949785731E-10,2.359949905628E-10,3.008966587181E-10
81,3.015432574711E-10,3.383363894593E-10,2.916450544136E-10,2.652573706962E-10,3.20205617343E-10,2.915860846652E-10,3.265598987407E-10,2.839663119108E-10,2.389295039255E-10,3.047046632742E-10
82,3.053306189686E-10,3.427658771387E-10,2.952937282411E-10,2.685188745143E-10,3.241082182507E-10,2.952332437789E-10,3.309011655709E-10,2.8767056032E-10,2.418922974771E-10,3.085457009158E-10
83,3.091511600586E-10,3.472317438968E-10,2.989743768093E-10,2.718115979063E-10,3.280471645939E-10,2.989119474741E-10,3.352783122051E-10,2.914080429277E-10,2.448825034698E-10,3.124186990949E-10
84,3.130051904801E-10,3.517332544777E-10,3.026872784345E-10,2.751356939045E-10,3.320216681233E-10,3.026212636601E-10,3.396915277422E-10,2.951788121799E-10,2.478992790384E-10,3.163226020753E-10
85,3.168927327158E-10,3.562706916263E-10,3.06432429767E-10,2.784910292082E-10,3.360321838234E-10,3.063615923158E-10,3.441407167777E-10,2.989826400718E-10,2.509430318025E-10,3.202577888833E-10
86,3.208135074269E-10,3.608444224859E-10,3.10209531561E-10,2.818771701066E-10,3.400792979372E-10,3.101335254722E-10,3.48625485006E-10,3.028190043786E-10,2.540143687055E-10,3.242248559598E-10
87,3.247669188876E-10,3.654545576242E-10,3.14017974445E-10,2.852933683999E-10,3.441633228702E-10,3.139374336234E-10,3.531451248233E-10,3.066870748861E-10,2.571137153559E-10,3.282241759029E-10
88,3.287520404203E-10,3.701009379818E-10,3.17856824692E-10,2.887385473216E-10,3.482842832331E-10,3.177734540957E-10,3.576986009302E-10,3.105856996214E-10,2.60241306379E-10,3.322558856459E-10
89,3.32767963207E-10,3.747831218198E-10,3.217251578407E-10,2.922116745379E-10,3.524419018848E-10,3.21641479416E-10,3.622849092813E-10,3.145137817478E-10,2.633971757693E-10,3.363198746362E-10
90,3.368149371832E-10,3.795003716686E-10,3.256231505521E-10,2.957129788901E-10,3.566355859753E-10,3.255411456811E-10,3.669042498458E-10,3.184715080198E-10,2.665811472423E-10,3.404157730135E-10
91,3.408933831108E-10,3.842516412748E-10,3.295511346095E-10,2.992428994697E-10,3.608644129887E-10,3.29471820926E-10,3.715570121449E-10,3.224592885603E-10,2.69792824587E-10,3.445429397885E-10
